Tag #,COMMON NAME,BOTANICAL NAME,Latitude,Longitude,Height,Diameter,Crown height,Crown Spread,Last Update,Contributors,Notes,Last Inspection,Health,Expert Notes
1482,Coast Live Oak,Quercus agrifolia,37.31647397,-122.0453843,31'-45',"40""",,,,,,06/14/2022,60% - Fair,"Crown clean, crown raise, crown thin, and end-weight reduction"
1483,Coast Live Oak,Quercus agrifolia,37.31653037,-122.045428,31'-45',"19""",,,,,,06/14/2022,60% - Fair,"Crown clean, crown raise, crown thin, and end-weight reduction"
1484,Cork Oak,Quercus suber,37.31627531,-122.0444785,31'-45',"13""",,,,,,06/16/2022,60% - Fair,Clearance Pruning
1485,Cork Oak,Quercus suber,37.31631275,-122.0444713,31'-45',"5""",,,,,,06/16/2022,60% - Fair,Clearance Pruning
1486,Cork Oak,Quercus suber,37.3163828,-122.0443905,31'-45',"5""",,,,,,06/16/2022,60% - Fair,Clearance Pruning
1487,Coast Live Oak,Quercus agrifolia,37.31631279,-122.044437,31'-45',"12""",,,,,,06/16/2022,60% - Fair,Clearance Pruning
1488,Liquidambar,Liquidambar styraciflua,37.31629276,-122.0443997,31'-45',"10""",,,,,,06/16/2022,60% - Fair,Clearance Pruning
1489,Liquidambar,Liquidambar styraciflua,37.31629725,-122.0443654,31'-45',"13""",,,,,,06/16/2022,60% - Fair,Crown Clean
1490,Cork Oak,Quercus suber,37.31630094,-122.0443539,31'-45',"5""",,,,,,06/16/2022,60% - Fair,Removal
1491,Liquidambar,Liquidambar styraciflua,37.31631075,-122.0443288,31'-45',"13""",,,,,,06/16/2022,60% - Fair,Removal
1492,Coast Live Oak,Quercus agrifolia,37.31631373,-122.0443735,16'-30',"3""",,,,,,07/01/2022,60% - Fair,Removal
1493,Sweetfern,Comptonia peregrina,37.3,-122.0,16'-30',"1""-6""",,,,,,06/16/2022,40% - Poor,Structural pruning
1494,Sweetfern,Comptonia peregrina,37.31636649,-122.0444451,16'-30',"1""-6""",,,,,,06/16/2022,40% - Poor,Structural pruning
1495,Sweetfern,Comptonia peregrina,37.31638723,-122.0444111,16'-30',"1""-6""",,,,,,06/16/2022,40% - Poor,Structural pruning
1496,Coast Live Oak,Quercus agrifolia,37.31632386,-122.0443938,46'-60',"39""",,,,,,06/16/2022,60% - Fair,"Crown clean, crown raise, crown thin, and end-weight reduction"
1497,Coast Live Oak,Quercus agrifolia,37.31633512,-122.0443912,46'-60',"12""",,,,,,06/16/2022,60% - Fair,"Crown clean, crown raise, crown thin, and end-weight reduction"
1498,Coast Live Oak,Quercus agrifolia,37.31634592,-122.0443935,46'-60',"11""",,,,,,06/16/2022,60% - Fair,"Crown clean, crown raise, crown thin, and end-weight reduction"
1499,Coast Live Oak,Quercus agrifolia,37.31636706,-122.0443414,46'-60',"16""",,,,,,06/16/2022,60% - Fair,"Crown clean, crown raise, crown thin, and end-weight reduction"
1500,Coast Live Oak,Quercus agrifolia,37,-122,46'-60',"13""",,,,,,06/16/2022,40% - Poor,"Crown clean, crown raise, crown thin, and end-weight reduction"
1501,Coast Live Oak,Quercus agrifolia,37.3,-122.0,46'-60',"10""",,,,,,06/16/2022,40% - Poor,"Crown clean, crown raise, crown thin, and end-weight reduction"
1502,Coast Live Oak,Quercus agrifolia,37.3,-122.0,46'-60',"13""",,,,,,06/16/2022,40% - Poor,"Crown clean, crown raise, crown thin, and end-weight reduction"
1503,Cork Oak,Quercus suber,37.3,-122.0,16'-30',"9""",,,,,,06/16/2022,60% - Fair,Structural pruning
1504,Pin Oak,Quercus palustris,37,-122,16'-30',"3""",,,,,,06/16/2022,60% - Fair,Structural pruning
1505,Valley Oak,Quercus lobata,37.31642459,-122.0444072,16'-30',"4""",,,,,,06/16/2022,60% - Fair,Structural pruning
1506,Cork Oak,Quercus suber,37.31644415,-122.0443935,16'-30',"2""",,,,,,06/16/2022,60% - Fair,Structural pruning
1507,Cork Oak,Quercus suber,37.31648882,-122.0443508,31'-45',"16""",,,,,,06/16/2022,60% - Fair,Clearance Pruning  /  Crown Clean  /  Crown Raise
1508,Cork Oak,Quercus suber,37.31652532,-122.0443502,31'-45',"19""",,,,,,06/16/2022,60% - Fair,Crown Clean  /  Crown Raise  /  Structural pruning
